COUNTRY,YEAR_CODE,WEEK_CODE,MEASURE_CODE,AGEGROUP_CODE,VIRUSTYPE_CODE,VIRUS_SUB_CODE,INF_CONF_CODE,SAMPLED_CODE,DataValue
United States of America,2009,40,ILI CASES,0TO4,,,,,9203.00
United States of America,2009,40,ILI CASES,5TO24,,,,,26769.00
United States of America,2009,40,ILI CASES,25TO49,,,,,8247.00
United States of America,2009,40,ILI CASES,50TO64,,,,,2194.00
United States of America,2009,40,ILI CASES,65TO,,,,,890.00
United States of America,2009,40,ILI CASES,UNKNOWN,,,,,0.00
United States of America,2009,40,ILI CASES,ALL,,,,,47303.00
United States of America,2009,40,ILI OUTPATIENTS,0TO4,,,,,0.00
United States of America,2009,40,ILI OUTPATIENTS,5TO24,,,,,0.00
United States of America,2009,40,ILI OUTPATIENTS,25TO49,,,,,0.00
United States of America,2009,40,ILI OUTPATIENTS,50TO64,,,,,0.00
United States of America,2009,40,ILI OUTPATIENTS,65TO,,,,,0.00
United States of America,2009,40,ILI OUTPATIENTS,UNKNOWN,,,,,0.00
United States of America,2009,40,ILI OUTPATIENTS,ALL,,,,,854106.00
United States of America,2009,40,ILI SITES NUMBER,,,,,,2025.00
United States of America,2009,40,TOALTA MORTALITY,ALL,,,,,10766.00
United States of America,2009,40,PNI MORTALITY,ALL,,,,,926.00
United States of America,2009,40,TREND,,,,,,Not Available
United States of America,2009,40,INTENSITY,,,,,,Not Available
United States of America,2009,40,IMPACT,,,,,,Not Available
United States of America,2009,40,GEOSPREAD,,,,,,Not Available
United States of America,2009,40,COMMENTS,,,,,,
United States of America,2009,41,ILI CASES,0TO4,,,,,11248.00
United States of America,2009,41,ILI CASES,5TO24,,,,,31231.00
United States of America,2009,41,ILI CASES,25TO49,,,,,9714.00
United States of America,2009,41,ILI CASES,50TO64,,,,,2673.00
United States of America,2009,41,ILI CASES,65TO,,,,,991.00
United States of America,2009,41,ILI CASES,UNKNOWN,,,,,0.00
United States of America,2009,41,ILI CASES,ALL,,,,,55857.00
United States of America,2009,41,ILI OUTPATIENTS,0TO4,,,,,0.00
