COUNTRY,YEAR_CODE,WEEK_CODE,MEASURE_CODE,AGEGROUP_CODE,VIRUSTYPE_CODE,VIRUS_SUB_CODE,INF_CONF_CODE,SAMPLED_CODE,DataValue
France,2009,28,ILI CASES,0TO4,,,,,
France,2009,28,ILI CASES,5TO14,,,,,
France,2009,28,ILI CASES,15TO64,,,,,
France,2009,28,ILI CASES,65TO,,,,,
France,2009,28,ILI CASES,UNKNOWN,,,,,
France,2009,28,ILI CASES,ALL,,,,,
France,2009,28,ILI OUTPATIENTS,0TO4,,,,,
France,2009,28,ILI OUTPATIENTS,5TO14,,,,,
France,2009,28,ILI OUTPATIENTS,15TO64,,,,,
France,2009,28,ILI OUTPATIENTS,65TO,,,,,
France,2009,28,ILI OUTPATIENTS,UNKNOWN,,,,,
France,2009,28,ILI OUTPATIENTS,ALL,,,,,
France,2009,28,ILI POPULATION COVERED,0TO4,,,,,
France,2009,28,ILI POPULATION COVERED,5TO14,,,,,
France,2009,28,ILI POPULATION COVERED,15TO64,,,,,
France,2009,28,ILI POPULATION COVERED,65TO,,,,,
France,2009,28,ILI POPULATION COVERED,UNKNOWN,,,,,
France,2009,28,ILI POPULATION COVERED,ALL,,,,,
France,2009,28,ILI SITES NUMBER,,,,,,
France,2009,28,ARI CASES,0TO4,,,,,502.00
France,2009,28,ARI CASES,5TO14,,,,,345.00
France,2009,28,ARI CASES,15TO64,,,,,409.00
France,2009,28,ARI CASES,65TO,,,,,80.00
France,2009,28,ARI CASES,UNKNOWN,,,,,
France,2009,28,ARI CASES,ALL,,,,,1336.00
France,2009,28,ARI OUTPATIENTS,0TO4,,,,,
France,2009,28,ARI OUTPATIENTS,5TO14,,,,,
France,2009,28,ARI OUTPATIENTS,15TO64,,,,,
France,2009,28,ARI OUTPATIENTS,65TO,,,,,
France,2009,28,ARI OUTPATIENTS,UNKNOWN,,,,,
France,2009,28,ARI OUTPATIENTS,ALL,,,,,18325.00
France,2009,28,ARI POPULATION COVERED,0TO4,,,,,14418.00
France,2009,28,ARI POPULATION COVERED,5TO14,,,,,21940.00
France,2009,28,ARI POPULATION COVERED,15TO64,,,,,89966.00
France,2009,28,ARI POPULATION COVERED,65TO,,,,,22449.00
France,2009,28,ARI POPULATION COVERED,UNKNOWN,,,,,
France,2009,28,ARI POPULATION COVERED,ALL,,,,,148773.00
France,2009,28,ARI SITES NUMBER,,,,,,187.00
France,2009,28,SARI CASES,ALL,,,,,
France,2009,28,SARI INPATIENTS,ALL,,,,,
France,2009,28,SARI DEATHS,ALL,,,,,
