COUNTRY,YEAR_CODE,WEEK_CODE,MEASURE_CODE,AGEGROUP_CODE,VIRUSTYPE_CODE,VIRUS_SUB_CODE,INF_CONF_CODE,SAMPLED_CODE,DataValue
Malta,2009,29,ILI CASES,0TO4,,,,,0.00
Malta,2009,29,ILI CASES,5TO14,,,,,0.00
Malta,2009,29,ILI CASES,15TO64,,,,,0.00
Malta,2009,29,ILI CASES,65TO,,,,,0.00
Malta,2009,29,ILI CASES,UNKNOWN,,,,,6.00
Malta,2009,29,ILI CASES,ALL,,,,,6.00
Malta,2009,29,ILI OUTPATIENTS,0TO4,,,,,8.00
Malta,2009,29,ILI OUTPATIENTS,5TO14,,,,,11.00
Malta,2009,29,ILI OUTPATIENTS,15TO64,,,,,70.00
Malta,2009,29,ILI OUTPATIENTS,65TO,,,,,21.00
Malta,2009,29,ILI OUTPATIENTS,UNKNOWN,,,,,236.00
Malta,2009,29,ILI OUTPATIENTS,ALL,,,,,346.00
Malta,2009,29,ILI POPULATION COVERED,0TO4,,,,,0.00
Malta,2009,29,ILI POPULATION COVERED,5TO14,,,,,0.00
Malta,2009,29,ILI POPULATION COVERED,15TO64,,,,,0.00
Malta,2009,29,ILI POPULATION COVERED,65TO,,,,,0.00
Malta,2009,29,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Malta,2009,29,ILI POPULATION COVERED,ALL,,,,,0.00
Malta,2009,29,ILI SITES NUMBER,,,,,,2.00
Malta,2009,29,ARI CASES,0TO4,,,,,0.00
Malta,2009,29,ARI CASES,5TO14,,,,,0.00
Malta,2009,29,ARI CASES,15TO64,,,,,0.00
Malta,2009,29,ARI CASES,65TO,,,,,0.00
Malta,2009,29,ARI CASES,UNKNOWN,,,,,0.00
Malta,2009,29,ARI CASES,ALL,,,,,0.00
Malta,2009,29,ARI OUTPATIENTS,0TO4,,,,,8.00
Malta,2009,29,ARI OUTPATIENTS,5TO14,,,,,11.00
Malta,2009,29,ARI OUTPATIENTS,15TO64,,,,,70.00
Malta,2009,29,ARI OUTPATIENTS,65TO,,,,,21.00
Malta,2009,29,ARI OUTPATIENTS,UNKNOWN,,,,,236.00
Malta,2009,29,ARI OUTPATIENTS,ALL,,,,,346.00
Malta,2009,29,ARI POPULATION COVERED,0TO4,,,,,0.00
Malta,2009,29,ARI POPULATION COVERED,5TO14,,,,,0.00
Malta,2009,29,ARI POPULATION COVERED,15TO64,,,,,0.00
Malta,2009,29,ARI POPULATION COVERED,65TO,,,,,0.00
Malta,2009,29,ARI POPULATION COVERED,UNKNOWN,,,,,0.00
Malta,2009,29,ARI POPULATION COVERED,ALL,,,,,0.00
Malta,2009,29,ARI SITES NUMBER,,,,,,2.00
Malta,2009,29,SARI CASES,0TO4,,,,,0.00
Malta,2009,29,SARI CASES,5TO14,,,,,0.00
Malta,2009,29,SARI CASES,15TO64,,,,,2.00
Malta,2009,29,SARI CASES,65TO,,,,,0.00
Malta,2009,29,SARI CASES,UNKNOWN,,,,,0.00
Malta,2009,29,SARI CASES,ALL,,,,,2.00
Malta,2009,29,SARI DEATHS,0TO4,,,,,0.00
Malta,2009,29,SARI DEATHS,5TO14,,,,,0.00
Malta,2009,29,SARI DEATHS,15TO64,,,,,0.00
Malta,2009,29,SARI DEATHS,65TO,,,,,0.00
Malta,2009,29,SARI DEATHS,UNKNOWN,,,,,0.00
Malta,2009,29,SARI DEATHS,ALL,,,,,0.00
Malta,2009,29,SARI SITES NUMBER,,,,,,
Malta,2009,29,TREND,,,,,,Not Available
Malta,2009,29,INTENSITY,,,,,,Not Available
Malta,2009,29,IMPACT,,,,,,Not Available
Malta,2009,29,GEOSPREAD,,,,,,Localized
Malta,2009,30,ILI CASES,0TO4,,,,,3.00
Malta,2009,30,ILI CASES,5TO14,,,,,26.00
Malta,2009,30,ILI CASES,15TO64,,,,,114.00
Malta,2009,30,ILI CASES,65TO,,,,,3.00
Malta,2009,30,ILI CASES,UNKNOWN,,,,,98.00
Malta,2009,30,ILI CASES,ALL,,,,,244.00
Malta,2009,30,ILI OUTPATIENTS,0TO4,,,,,42.00
Malta,2009,30,ILI OUTPATIENTS,5TO14,,,,,92.00
Malta,2009,30,ILI OUTPATIENTS,15TO64,,,,,662.00
Malta,2009,30,ILI OUTPATIENTS,65TO,,,,,240.00
Malta,2009,30,ILI OUTPATIENTS,UNKNOWN,,,,,904.00
Malta,2009,30,ILI OUTPATIENTS,ALL,,,,,1940.00
Malta,2009,30,ILI POPULATION COVERED,0TO4,,,,,0.00
Malta,2009,30,ILI POPULATION COVERED,5TO14,,,,,0.00
Malta,2009,30,ILI POPULATION COVERED,15TO64,,,,,0.00
Malta,2009,30,ILI POPULATION COVERED,65TO,,,,,0.00
Malta,2009,30,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Malta,2009,30,ILI POPULATION COVERED,ALL,,,,,0.00
Malta,2009,30,ILI SITES NUMBER,,,,,,13.00
Malta,2009,30,ARI CASES,0TO4,,,,,0.00
Malta,2009,30,ARI CASES,5TO14,,,,,0.00
Malta,2009,30,ARI CASES,15TO64,,,,,0.00
Malta,2009,30,ARI CASES,65TO,,,,,0.00
Malta,2009,30,ARI CASES,UNKNOWN,,,,,0.00
Malta,2009,30,ARI CASES,ALL,,,,,0.00
Malta,2009,30,ARI OUTPATIENTS,0TO4,,,,,42.00
Malta,2009,30,ARI OUTPATIENTS,5TO14,,,,,92.00
Malta,2009,30,ARI OUTPATIENTS,15TO64,,,,,662.00
Malta,2009,30,ARI OUTPATIENTS,65TO,,,,,240.00
Malta,2009,30,ARI OUTPATIENTS,UNKNOWN,,,,,904.00
Malta,2009,30,ARI OUTPATIENTS,ALL,,,,,1940.00
Malta,2009,30,ARI POPULATION COVERED,0TO4,,,,,0.00
Malta,2009,30,ARI POPULATION COVERED,5TO14,,,,,0.00
Malta,2009,30,ARI POPULATION COVERED,15TO64,,,,,0.00
Malta,2009,30,ARI POPULATION COVERED,65TO,,,,,0.00
Malta,2009,30,ARI POPULATION COVERED,UNKNOWN,,,,,0.00
Malta,2009,30,ARI POPULATION COVERED,ALL,,,,,0.00
Malta,2009,30,ARI SITES NUMBER,,,,,,13.00
Malta,2009,30,SARI CASES,0TO4,,,,,0.00
Malta,2009,30,SARI CASES,5TO14,,,,,0.00
Malta,2009,30,SARI CASES,15TO64,,,,,8.00
Malta,2009,30,SARI CASES,65TO,,,,,0.00
Malta,2009,30,SARI CASES,UNKNOWN,,,,,0.00
Malta,2009,30,SARI CASES,ALL,,,,,8.00
Malta,2009,30,SARI DEATHS,0TO4,,,,,0.00
Malta,2009,30,SARI DEATHS,5TO14,,,,,0.00
Malta,2009,30,SARI DEATHS,15TO64,,,,,0.00
Malta,2009,30,SARI DEATHS,65TO,,,,,0.00
Malta,2009,30,SARI DEATHS,UNKNOWN,,,,,0.00
Malta,2009,30,SARI DEATHS,ALL,,,,,0.00
Malta,2009,30,SARI SITES NUMBER,,,,,,
Malta,2009,30,TREND,,,,,,Not Available
Malta,2009,30,INTENSITY,,,,,,Not Available
Malta,2009,30,IMPACT,,,,,,Not Available
Malta,2009,30,GEOSPREAD,,,,,,Localized
Malta,2009,31,ILI CASES,0TO4,,,,,3.00
Malta,2009,31,ILI CASES,5TO14,,,,,58.00
Malta,2009,31,ILI CASES,15TO64,,,,,166.00
Malta,2009,31,ILI CASES,65TO,,,,,4.00
Malta,2009,31,ILI CASES,UNKNOWN,,,,,63.00
Malta,2009,31,ILI CASES,ALL,,,,,294.00
Malta,2009,31,ILI OUTPATIENTS,0TO4,,,,,36.00
Malta,2009,31,ILI OUTPATIENTS,5TO14,,,,,101.00
Malta,2009,31,ILI OUTPATIENTS,15TO64,,,,,585.00
Malta,2009,31,ILI OUTPATIENTS,65TO,,,,,159.00
Malta,2009,31,ILI OUTPATIENTS,UNKNOWN,,,,,779.00
Malta,2009,31,ILI OUTPATIENTS,ALL,,,,,1660.00
Malta,2009,31,ILI POPULATION COVERED,0TO4,,,,,0.00
Malta,2009,31,ILI POPULATION COVERED,5TO14,,,,,0.00
Malta,2009,31,ILI POPULATION COVERED,15TO64,,,,,0.00
Malta,2009,31,ILI POPULATION COVERED,65TO,,,,,0.00
Malta,2009,31,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Malta,2009,31,ILI POPULATION COVERED,ALL,,,,,0.00
Malta,2009,31,ILI SITES NUMBER,,,,,,11.00
Malta,2009,31,ARI CASES,0TO4,,,,,0.00
Malta,2009,31,ARI CASES,5TO14,,,,,0.00
Malta,2009,31,ARI CASES,15TO64,,,,,0.00
Malta,2009,31,ARI CASES,65TO,,,,,0.00
