COUNTRY,YEAR_CODE,WEEK_CODE,MEASURE_CODE,AGEGROUP_CODE,VIRUSTYPE_CODE,VIRUS_SUB_CODE,INF_CONF_CODE,SAMPLED_CODE,DataValue
Morocco,2006,36,ILI CASES,0TO4,,,Positive,,0.00
Morocco,2006,36,ILI CASES,0TO4,,,Negative,,124.00
Morocco,2006,36,ILI CASES,0TO4,,,TOTAL,,124.00
Morocco,2006,36,ILI CASES,0TO4,,,,,
Morocco,2006,36,ILI CASES,5TO14,,,Positive,,0.00
Morocco,2006,36,ILI CASES,5TO14,,,Negative,,100.00
Morocco,2006,36,ILI CASES,5TO14,,,TOTAL,,100.00
Morocco,2006,36,ILI CASES,5TO14,,,,,
Morocco,2006,36,ILI CASES,15TO24,,,Positive,,1.00
Morocco,2006,36,ILI CASES,15TO24,,,Negative,,176.00
Morocco,2006,36,ILI CASES,15TO24,,,TOTAL,,177.00
Morocco,2006,36,ILI CASES,25TO59,,,Positive,,1.00
Morocco,2006,36,ILI CASES,25TO59,,,Negative,,243.00
Morocco,2006,36,ILI CASES,25TO59,,,TOTAL,,244.00
Morocco,2006,36,ILI CASES,60TO,,,Positive,,0.00
Morocco,2006,36,ILI CASES,60TO,,,Negative,,66.00
Morocco,2006,36,ILI CASES,60TO,,,TOTAL,,66.00
Morocco,2006,36,ILI CASES,UNKNOWN,,,,,0.00
Morocco,2006,36,ILI CASES,UNKNOWN,,,,,
Morocco,2006,36,ILI CASES,ALL,,,,,711.00
Morocco,2006,36,ILI CASES,ALL,,,,,
Morocco,2006,36,ILI OUTPATIENTS,ALL,,,,,109124.00
Morocco,2006,36,ARI OUTPATIENTS,ALL,,,,,9708.00
Morocco,2006,37,ILI CASES,0TO4,,,Positive,,0.00
Morocco,2006,37,ILI CASES,0TO4,,,Negative,,137.00
Morocco,2006,37,ILI CASES,0TO4,,,TOTAL,,137.00
Morocco,2006,37,ILI CASES,0TO4,,,,,
Morocco,2006,37,ILI CASES,5TO14,,,Positive,,0.00
Morocco,2006,37,ILI CASES,5TO14,,,Negative,,108.00
Morocco,2006,37,ILI CASES,5TO14,,,TOTAL,,108.00
Morocco,2006,37,ILI CASES,5TO14,,,,,
Morocco,2006,37,ILI CASES,15TO24,,,Positive,,0.00
Morocco,2006,37,ILI CASES,15TO24,,,Negative,,166.00
Morocco,2006,37,ILI CASES,15TO24,,,TOTAL,,166.00
Morocco,2006,37,ILI CASES,25TO59,,,Positive,,1.00
Morocco,2006,37,ILI CASES,25TO59,,,Negative,,233.00
Morocco,2006,37,ILI CASES,25TO59,,,TOTAL,,234.00
Morocco,2006,37,ILI CASES,60TO,,,Positive,,0.00
Morocco,2006,37,ILI CASES,60TO,,,Negative,,58.00
Morocco,2006,37,ILI CASES,60TO,,,TOTAL,,58.00
Morocco,2006,37,ILI CASES,UNKNOWN,,,,,0.00
Morocco,2006,37,ILI CASES,UNKNOWN,,,,,
Morocco,2006,37,ILI CASES,ALL,,,,,703.00
Morocco,2006,37,ILI CASES,ALL,,,,,
Morocco,2006,37,ILI OUTPATIENTS,ALL,,,,,119634.00
Morocco,2006,37,ARI OUTPATIENTS,ALL,,,,,10601.00
Morocco,2006,38,ILI CASES,0TO4,,,Positive,,0.00
Morocco,2006,38,ILI CASES,0TO4,,,Negative,,153.00
Morocco,2006,38,ILI CASES,0TO4,,,TOTAL,,153.00
Morocco,2006,38,ILI CASES,0TO4,,,,,
Morocco,2006,38,ILI CASES,5TO14,,,Positive,,0.00
Morocco,2006,38,ILI CASES,5TO14,,,Negative,,113.00
Morocco,2006,38,ILI CASES,5TO14,,,TOTAL,,113.00
Morocco,2006,38,ILI CASES,5TO14,,,,,
Morocco,2006,38,ILI CASES,15TO24,,,Positive,,1.00
Morocco,2006,38,ILI CASES,15TO24,,,Negative,,183.00
Morocco,2006,38,ILI CASES,15TO24,,,TOTAL,,184.00
Morocco,2006,38,ILI CASES,25TO59,,,Positive,,2.00
Morocco,2006,38,ILI CASES,25TO59,,,Negative,,246.00
Morocco,2006,38,ILI CASES,25TO59,,,TOTAL,,248.00
Morocco,2006,38,ILI CASES,60TO,,,Positive,,0.00
Morocco,2006,38,ILI CASES,60TO,,,Negative,,60.00
Morocco,2006,38,ILI CASES,60TO,,,TOTAL,,60.00
Morocco,2006,38,ILI CASES,UNKNOWN,,,,,0.00
Morocco,2006,38,ILI CASES,UNKNOWN,,,,,
Morocco,2006,38,ILI CASES,ALL,,,,,758.00
Morocco,2006,38,ILI CASES,ALL,,,,,
Morocco,2006,38,ILI OUTPATIENTS,ALL,,,,,121087.00
Morocco,2006,38,ARI OUTPATIENTS,ALL,,,,,10850.00
Morocco,2006,39,ILI CASES,0TO4,,,Positive,,0.00
Morocco,2006,39,ILI CASES,0TO4,,,Negative,,189.00
Morocco,2006,39,ILI CASES,0TO4,,,TOTAL,,189.00
Morocco,2006,39,ILI CASES,0TO4,,,,,
Morocco,2006,39,ILI CASES,5TO14,,,Positive,,0.00
Morocco,2006,39,ILI CASES,5TO14,,,Negative,,164.00
Morocco,2006,39,ILI CASES,5TO14,,,TOTAL,,164.00
Morocco,2006,39,ILI CASES,5TO14,,,,,
Morocco,2006,39,ILI CASES,15TO24,,,Positive,,0.00
Morocco,2006,39,ILI CASES,15TO24,,,Negative,,239.00
Morocco,2006,39,ILI CASES,15TO24,,,TOTAL,,239.00
Morocco,2006,39,ILI CASES,25TO59,,,Positive,,0.00
Morocco,2006,39,ILI CASES,25TO59,,,Negative,,338.00
Morocco,2006,39,ILI CASES,25TO59,,,TOTAL,,338.00
Morocco,2006,39,ILI CASES,60TO,,,Positive,,0.00
Morocco,2006,39,ILI CASES,60TO,,,Negative,,90.00
Morocco,2006,39,ILI CASES,60TO,,,TOTAL,,90.00
Morocco,2006,39,ILI CASES,UNKNOWN,,,,,0.00
Morocco,2006,39,ILI CASES,UNKNOWN,,,,,
Morocco,2006,39,ILI CASES,ALL,,,,,1020.00
Morocco,2006,39,ILI CASES,ALL,,,,,
Morocco,2006,39,ILI OUTPATIENTS,ALL,,,,,128465.00
Morocco,2006,39,ARI OUTPATIENTS,ALL,,,,,11140.00
Morocco,2006,40,ILI CASES,0TO4,,,Positive,,0.00
Morocco,2006,40,ILI CASES,0TO4,,,Negative,,223.00
Morocco,2006,40,ILI CASES,0TO4,,,TOTAL,,223.00
Morocco,2006,40,ILI CASES,0TO4,,,,,
Morocco,2006,40,ILI CASES,5TO14,,,Positive,,0.00
Morocco,2006,40,ILI CASES,5TO14,,,Negative,,175.00
Morocco,2006,40,ILI CASES,5TO14,,,TOTAL,,175.00
Morocco,2006,40,ILI CASES,5TO14,,,,,
Morocco,2006,40,ILI CASES,15TO24,,,Positive,,0.00
Morocco,2006,40,ILI CASES,15TO24,,,Negative,,288.00
Morocco,2006,40,ILI CASES,15TO24,,,TOTAL,,288.00
Morocco,2006,40,ILI CASES,25TO59,,,Positive,,3.00
Morocco,2006,40,ILI CASES,25TO59,,,Negative,,414.00
Morocco,2006,40,ILI CASES,25TO59,,,TOTAL,,417.00
Morocco,2006,40,ILI CASES,60TO,,,Positive,,1.00
Morocco,2006,40,ILI CASES,60TO,,,Negative,,103.00
Morocco,2006,40,ILI CASES,60TO,,,TOTAL,,104.00
Morocco,2006,40,ILI CASES,UNKNOWN,,,,,6.00
Morocco,2006,40,ILI CASES,UNKNOWN,,,,,
Morocco,2006,40,ILI CASES,ALL,,,,,1213.00
Morocco,2006,40,ILI CASES,ALL,,,,,
Morocco,2006,40,ILI OUTPATIENTS,ALL,,,,,128718.00
Morocco,2006,40,ARI OUTPATIENTS,ALL,,,,,13041.00
Morocco,2006,41,ILI CASES,0TO4,,,Positive,,0.00
Morocco,2006,41,ILI CASES,0TO4,,,Negative,,234.00
Morocco,2006,41,ILI CASES,0TO4,,,TOTAL,,234.00
Morocco,2006,41,ILI CASES,0TO4,,,,,
Morocco,2006,41,ILI CASES,5TO14,,,Positive,,0.00
Morocco,2006,41,ILI CASES,5TO14,,,Negative,,225.00
Morocco,2006,41,ILI CASES,5TO14,,,TOTAL,,225.00
Morocco,2006,41,ILI CASES,5TO14,,,,,
Morocco,2006,41,ILI CASES,15TO24,,,Positive,,0.00
Morocco,2006,41,ILI CASES,15TO24,,,Negative,,356.00
Morocco,2006,41,ILI CASES,15TO24,,,TOTAL,,356.00
Morocco,2006,41,ILI CASES,25TO59,,,Positive,,2.00
Morocco,2006,41,ILI CASES,25TO59,,,Negative,,440.00
Morocco,2006,41,ILI CASES,25TO59,,,TOTAL,,442.00
Morocco,2006,41,ILI CASES,60TO,,,Positive,,0.00
Morocco,2006,41,ILI CASES,60TO,,,Negative,,105.00
Morocco,2006,41,ILI CASES,60TO,,,TOTAL,,105.00
Morocco,2006,41,ILI CASES,UNKNOWN,,,,,2.00
Morocco,2006,41,ILI CASES,UNKNOWN,,,,,
Morocco,2006,41,ILI CASES,ALL,,,,,1364.00
Morocco,2006,41,ILI CASES,ALL,,,,,
Morocco,2006,41,ILI OUTPATIENTS,ALL,,,,,133771.00
Morocco,2006,41,ARI OUTPATIENTS,ALL,,,,,16066.00
Morocco,2006,42,ILI CASES,0TO4,,,Positive,,0.00
Morocco,2006,42,ILI CASES,0TO4,,,Negative,,227.00
Morocco,2006,42,ILI CASES,0TO4,,,TOTAL,,227.00
Morocco,2006,42,ILI CASES,0TO4,,,,,
Morocco,2006,42,ILI CASES,5TO14,,,Positive,,0.00
Morocco,2006,42,ILI CASES,5TO14,,,Negative,,271.00
Morocco,2006,42,ILI CASES,5TO14,,,TOTAL,,271.00
Morocco,2006,42,ILI CASES,5TO14,,,,,
Morocco,2006,42,ILI CASES,15TO24,,,Positive,,0.00
Morocco,2006,42,ILI CASES,15TO24,,,Negative,,457.00
Morocco,2006,42,ILI CASES,15TO24,,,TOTAL,,457.00
Morocco,2006,42,ILI CASES,25TO59,,,Positive,,2.00
Morocco,2006,42,ILI CASES,25TO59,,,Negative,,501.00
Morocco,2006,42,ILI CASES,25TO59,,,TOTAL,,503.00
Morocco,2006,42,ILI CASES,60TO,,,Positive,,0.00
Morocco,2006,42,ILI CASES,60TO,,,Negative,,135.00
Morocco,2006,42,ILI CASES,60TO,,,TOTAL,,135.00
Morocco,2006,42,ILI CASES,UNKNOWN,,,,,0.00
