COUNTRY,YEAR_CODE,WEEK_CODE,MEASURE_CODE,AGEGROUP_CODE,VIRUSTYPE_CODE,VIRUS_SUB_CODE,INF_CONF_CODE,SAMPLED_CODE,DataValue
United Kingdom of Great Britain and Northern Ireland,2009,28,ILI CASES,0TO4,,,,,54.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ILI CASES,5TO14,,,,,150.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ILI CASES,15TO64,,,,,380.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ILI CASES,65TO,,,,,20.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ILI CASES,UNKNOWN,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ILI CASES,ALL,,,,,604.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ILI OUTPATIENTS,0TO4,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ILI OUTPATIENTS,5TO14,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ILI OUTPATIENTS,15TO64,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ILI OUTPATIENTS,65TO,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ILI OUTPATIENTS,UNKNOWN,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ILI OUTPATIENTS,ALL,,,,,
United Kingdom of Great Britain and Northern Ireland,2009,28,ILI POPULATION COVERED,0TO4,,,,,47318.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ILI POPULATION COVERED,5TO14,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ILI POPULATION COVERED,15TO64,,,,,549204.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ILI POPULATION COVERED,65TO,,,,,132088.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ILI POPULATION COVERED,ALL,,,,,
United Kingdom of Great Britain and Northern Ireland,2009,28,ILI SITES NUMBER,,,,,,434.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ARI CASES,0TO4,,,,,412.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ARI CASES,5TO14,,,,,525.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ARI CASES,15TO64,,,,,1580.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ARI CASES,65TO,,,,,340.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ARI CASES,UNKNOWN,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ARI CASES,ALL,,,,,2857.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ARI OUTPATIENTS,0TO4,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ARI OUTPATIENTS,5TO14,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ARI OUTPATIENTS,15TO64,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ARI OUTPATIENTS,65TO,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ARI OUTPATIENTS,UNKNOWN,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ARI OUTPATIENTS,ALL,,,,,
United Kingdom of Great Britain and Northern Ireland,2009,28,ARI POPULATION COVERED,0TO4,,,,,47318.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ARI POPULATION COVERED,5TO14,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ARI POPULATION COVERED,15TO64,,,,,549204.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ARI POPULATION COVERED,65TO,,,,,132088.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ARI POPULATION COVERED,UNKNOWN,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,ARI POPULATION COVERED,ALL,,,,,
United Kingdom of Great Britain and Northern Ireland,2009,28,ARI SITES NUMBER,,,,,,434.00
United Kingdom of Great Britain and Northern Ireland,2009,28,SARI CASES,0TO4,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,SARI CASES,5TO14,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,SARI CASES,15TO64,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,SARI CASES,65TO,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,SARI CASES,UNKNOWN,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,SARI CASES,ALL,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,SARI INPATIENTS,0TO4,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,SARI INPATIENTS,5TO14,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,SARI INPATIENTS,15TO64,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,SARI INPATIENTS,65TO,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,SARI INPATIENTS,UNKNOWN,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,SARI INPATIENTS,ALL,,,,,
United Kingdom of Great Britain and Northern Ireland,2009,28,SARI POPULATION COVERED,0TO4,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,SARI POPULATION COVERED,5TO14,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,SARI POPULATION COVERED,15TO64,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,SARI POPULATION COVERED,65TO,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,SARI POPULATION COVERED,UNKNOWN,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,SARI DEATHS,0TO4,,,,,0.00
United Kingdom of Great Britain and Northern Ireland,2009,28,SARI DEATHS,5TO14,,,,,0.00
